@relation dwt_64

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0,102.2945,129.9315,11.255676,120.81275,-8.1055,12.207,7.732781,0.976375,-44.366354,42.467773,32.252646,-7.906603,-29.834,27.197,16.975932,-1.6785,-12.153751,15.053596,7.445753,1.61406,-147.58275,-117.72475,11.922297,-137.048188,-11.304,8.64225,7.546799,-0.524938,-43.676572,44.262763,32.440828,8.087843,-28.8085,25.781,16.86982,1.757781,-15.053596,11.187136,7.483463,-1.627075,-286.91575,-240.1855,16.968391,-261.585563,-20.04575,21.26675,17.626101,2.893188,-73.922004,65.25641,55.016892,-3.262193,-43.459,41.992,28.275629,-0.586156,-21.892026,16.295983,12.321107,1.773888,-64.01425,-40.82025,9.113268,-50.329875,-16.35725,20.75175,16.473016,2.25825,-86.834834,68.604207,59.827995,-5.705556,-52.881,43.8475,30.572141,-0.86675,-24.790457,30.107193,14.671813,2.572278,508.764,536.324,9.987297,520.35275,-33.814,26.954,25.558606,-3.363125,-89.696495,89.284252,70.382197,0.340472,-58.7885,51.95,38.51708,-0.931188,-27.205933,27.275937,17.5367,1.517098,1
1,119.45825,152.00175,13.498232,142.730813,-20.75175,22.58275,16.056802,1.934688,-34.699144,45.057905,29.508955,2.870014,-24.5115,24.56,14.984001,-0.582969,-17.608373,13.949095,7.293328,-0.351675,-167.09,-134.8875,13.382905,-157.8735,-21.753,17.8225,15.135664,-2.941875,-45.091492,34.733439,29.470441,-2.132015,-25.1465,21.24,14.837466,0.640687,-15.950915,17.194008,7.852718,0.202895,-299.8785,-223.34025,29.414304,-269.696938,-15.9935,23.4865,15.101481,-1.130062,-77.546633,66.327323,54.678107,-5.770389,-42.1415,39.6485,28.29867,-0.760156,-18.160623,17.056123,11.196856,-0.675795,-80.81075,-10.13175,27.152891,-55.02925,-15.08825,21.85075,14.859648,3.222625,-85.72998,76.028121,58.827913,-5.558743,-44.4335,40.723,29.748106,-1.470875,-21.406244,25.066935,13.215183,-1.687422,508.3745,566.7995,22.36513,529.358125,-9.4695,26.365,14.7911,6.59325,-109.963236,86.972366,71.199356,-15.088952,-55.0755,52,37.230723,-1.239125,-24.233964,21.821315,13.923115,-0.279926,1
2,104.3455,156.5425,19.398906,134.582188,-15.4295,1.5625,6.445856,-4.736312,-43.469036,37.21998,31.617468,5.342943,-31.7875,22.9005,16.883922,-0.158719,-17.332601,16.711055,8.210044,-1.065986,-173.2175,-121.36225,19.218411,-150.469875,-1.2205,15.4055,6.264497,5.658125,-37.150683,43.227559,31.483412,-4.932954,-22.3145,29.053,16.011513,-0.1435,-16.918237,18.713581,8.693104,0.938684,-298.901,-240.772,23.890274,-281.9455,-20.849,17.601,14.774637,-2.01375,-69.295757,70.950741,47.866455,15.061728,-44.5785,35.01,29.111974,2.35025,-17.334723,17.884852,11.865641,-1.286139,-83.032,-8.76475,29.135638,-58.215313,-30.615,15.50325,17.876979,-10.131938,-67.81048,69.640118,46.262746,13.076923,-59.7655,40.8205,32.670499,0.256219,-18.782877,40.534896,14.275295,-0.630098,469.142,574.00075,37.806929,517.780313,-36.62625,29.3015,25.874901,-5.327438,-69.887959,88.766296,54.397621,22.512998,-51.125,41.455,35.222624,2.566844,-20.647518,28.178205,15.31914,-1.793245,1
3,131.079,186.035,19.906156,162.860188,-6.103,11.816,7.899315,2.179063,-43.504038,38.359129,27.184266,-8.34249,-35.01,25.3905,18.211792,-1.449594,-12.706002,12.429523,6.925961,-2.608937,-203.75975,-149.2925,19.768907,-180.96325,-11.646,6.39625,8.609115,-2.2035,-36.874204,42.122705,26.436548,8.092307,-22.1685,34.424,17.443015,0.90625,-12.360934,13.258252,7.080113,2.578686,-342.1145,-290.1365,19.20567,-314.947,-16.2845,23.48625,14.124006,4.82725,-67.360406,71.781238,50.246421,-13.452265,-44.0435,34.1305,29.61979,-3.017813,-19.403717,18.022738,11.951934,-3.368215,-98.90125,-26.97775,26.154229,-56.823875,-18.04175,9.15525,10.780291,-0.475875,-69.157165,72.092011,48.079554,-15.502521,-56.836,41.8945,29.508986,-2.587875,-31.281697,19.749492,13.740127,-3.802246,462.23375,512.79175,19.062841,491.101625,-21.99875,27.21675,17.788811,4.014,-92.251979,98.922471,70.392687,-13.826678,-52.0975,47.85,38.816298,-3.436312,-28.241845,23.617366,16.183458,-4.022112,1
4,159.66775,185.44925,9.570255,173.718125,-14.99025,7.22675,8.663081,-0.232125,-44.125231,41.881228,31.80207,4.281266,-32.861,26.8065,18.395853,0.439563,-15.882325,14.501346,7.918754,-0.953754,-202.0265,-176.78225,9.223918,-190.234563,-7.788,14.20875,8.617911,-0.439438,-41.742281,45.091846,31.987044,-4.125924,-30.8105,32.08,18.641405,-0.317344,-15.053596,13.120366,7.717064,1.066074,-319.7985,-282.78925,14.977011,-297.350875,-16.47975,16.77225,14.801994,0.171125,-63.115291,73.922004,55.060505,4.402182,-38.8155,37.353,27.313149,0.738812,-18.644284,19.818082,12.492328,-1.156341,-42.4315,-34.058,3.141753,-39.29475,-8.496,9.351,7.029872,0.89125,-72.126306,69.882303,57.841661,3.737501,-44.434,53.613,30.067574,0.128,-25.135525,24.859046,13.472606,-1.9464,478.661,510.3985,11.527378,493.6895,-15.0865,27.592,19.928652,6.37325,-85.83145,104.685745,74.070067,9.115932,-47.455,47.56,35.732604,1.337687,-31.765358,28.793388,17.319391,-1.398127,1
5,150.9525,188.8915,16.056443,170.910625,-12.0365,9.39925,7.590879,-0.988875,-43.71122,44.401003,32.544293,1.54494,-24.1695,29.4925,16.347694,0.439438,-16.365279,13.327549,7.509956,0.20294,-207.056,-168.0915,16.333432,-188.574438,-12.0605,13.013,8.936332,0.805563,-44.194174,41.70834,31.941676,-1.596868,-32.129,24.317,16.862132,-0.427281,-12.291637,14.501346,7.081693,-0.0432,-342.38375,-281.0055,22.111566,-309.91175,-19.384,20.7035,15.512099,-2.11175,-63.630418,75.681992,52.587954,6.137333,-34.8625,40.967,27.304841,1.202375,-19.680196,18.575695,12.188978,0.902003,-78.345,-5.1515,25.944354,-41.345313,-25.1705,31.00525,23.568346,-2.856563,-67.499353,75.164744,52.980086,2.813976,-43.3105,56.4455,29.818494,-0.530969,-22.442155,25.066228,11.500054,0.431578,438.52825,506.642,26.183663,462.348125,-25.8325,31.03125,23.717233,-3.4845,-82.726897,101.060055,64.231127,11.605478,-53.0735,54.685,37.358848,2.90875,-26.862987,35.5604,17.082236,1.465435,1
6,143.286,177.441,14.405163,168.170125,-13.67225,10.107,8.814541,0.05475,-38.566665,39.464337,28.958571,-9.499272,-23.3395,25.3905,15.320726,-2.46275,-13.396138,11.462908,7.589646,1.04232,-195.53275,-159.86325,14.861809,-185.547125,-8.47125,12.84125,8.38913,0.159,-39.843699,40.085176,29.216303,10.021294,-28.0765,23.4375,15.532178,2.33775,-10.841361,13.120366,7.312586,-0.945181,-319.77475,-277.2935,18.969947,-298.27875,-10.10675,17.8695,10.323273,4.0275,-71.370055,70.399198,48.501665,-14.20825,-33.203,42.383,27.61313,-1.959063,-18.299923,16.780351,12.540603,1.354905,-34.4485,17.309,19.632423,-1.782312,-20.2395,13.23275,12.289299,-2.795437,-78.030294,61.457832,46.757802,-14.406284,-39.209,48.6815,28.56611,-5.541969,-23.409477,22.165676,13.346915,0.910643,439.3315,511.32575,28.874162,475.41425,-20.65275,28.88225,20.310749,2.038875,-85.662805,91.327791,58.905641,-12.549201,-45.752,60.0095,38.512949,0.3345,-28.102545,22.234973,15.772118,1.415407,1
7,148.43775,190.52725,15.01737,169.671625,-15.039,7.66525,9.639917,-2.582,-37.737582,44.505301,27.821468,7.617396,-22.314,31.836,17.617101,1.132188,-12.360934,9.874746,6.941125,2.522648,-206.4945,-164.1115,15.177871,-185.467563,-7.2265,13.89175,10.076842,3.350938,-43.192557,35.355693,26.770217,-7.116809,-31.738,18.848,17.166727,-1.174906,-11.186429,11.394319,6.50405,-2.518295,-326.195,-269.384,22.615533,-288.029813,-19.80075,16.993,13.087942,-2.777187,-70.883212,66.808863,49.871417,13.150904,-38.474,43.701,29.603639,2.182219,-19.472307,14.777825,12.230781,3.364215,-24.219,37.64675,22.61242,12.237688,-20.72775,13.91575,12.478189,-2.764938,-69.328991,76.960441,52.536905,12.417016,-42.6265,46.9725,30.893548,4.208406,-25.135525,24.928342,13.663928,3.864847,427.0735,503.48775,30.563613,477.744813,-28.8605,26.614,20.613948,-6.031687,-91.462141,85.757557,68.556491,15.164479,-45.218,58.84,39.196204,1.306281,-25.001174,22.028498,15.923888,3.382688,1
8,145.117,206.86,22.582446,172.19825,-16.33325,10.76625,10.880209,-0.2015,-40.844963,31.350286,27.314487,-2.861396,-31.396,33.9845,17.535787,0.350875,-14.432049,10.496293,7.450352,0.813615,-223.5595,-162.793,22.288384,-188.684063,-10.791,16.528,10.568563,0.073188,-31.592117,38.220889,26.769073,2.92614,-32.324,27.686,17.152872,0.195469,-12.498112,15.053596,7.743707,-0.729359,-314.38,-245.01875,25.760427,-281.383625,-25.92725,18.70025,19.239042,-0.830375,-72.852151,67.187519,54.012239,-3.849931,-42.478,39.0135,28.550796,-0.226375,-17.469073,16.089508,12.002194,1.040463,-6.0795,76.46425,29.677874,39.825188,-32.49475,26.2945,25.780614,-5.267188,-76.09671,75.475871,56.934847,0.910621,-48.828,61.084,32.792792,2.292031,-30.107193,23.753838,14.509939,1.422102,436.449,513.20225,30.747786,488.30475,-36.818,31.665,29.982022,-4.443375,-105.271229,80.302935,72.39099,-7.914558,-48.585,65.4315,39.085619,0.921875,-23.68737,26.035672,16.432584,0.984248,1
9,156.93325,190.18575,12.598682,169.757063,-20.5815,12.93925,13.404622,-0.103937,-48.094928,41.984819,32.563771,-4.294039,-26.66,26.025,14.938061,-2.035469,-14.432049,15.260779,6.9904,-1.262429,-206.9585,-171.77775,13.443309,-184.723188,-12.5975,19.873,13.17438,0.384687,-43.676572,47.232612,32.406916,3.655256,-24.902,25.2935,15.031276,2.163906,-17.056123,14.639232,7.612249,1.275422,-329.5445,-255.9075,26.588421,-295.826938,-19.33525,17.3815,13.810554,3.735437,-74.546732,65.462885,52.641537,-5.766588,-41.5995,41.162,27.681442,-0.726281,-16.363158,18.299216,10.673706,-1.419893,32.59275,90.62525,21.375611,63.281188,-13.8915,27.02625,15.256839,3.430187,-68.915334,68.535264,50.290857,-3.703074,-50.049,47.754,26.972078,-4.248031,-27.483119,18.920763,11.577501,-1.769468,441.59975,545.019,36.665138,491.2775,-5.567,16.55425,9.152378,10.235375,-90.146215,96.886003,67.45211,-7.598128,-60.6905,52.9745,39.510041,1.7,-24.927635,31.001683,15.506695,-0.982392,1
