@relation dwt_32_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute 7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0,83.001962,100.507097,88.802535,-111.38346,-93.877264,-100.015039,-201.94899,-166.07322,-183.579416,12.41168,-52.169985,-19.162594,-34.112599,342.503433,390.32365,363.082008,1
1,66.601681,94.360925,82.052494,-106.721859,-77.132975,-93.800366,-208.818532,-156.578544,-186.358434,12.075861,-53.585966,-17.263305,-37.064593,350.203119,398.297693,372.807908,1
2,68.501323,107.585236,94.724113,-117.977938,-79.998172,-105.220141,-204.813126,-150.605613,-173.065534,11.623663,-56.485811,-2.244003,-24.099613,347.442927,407.483718,383.436784,1
3,92.807765,122.155171,107.127738,-130.752883,-105.548061,-118.046704,-223.355233,-200.737009,-208.343533,10.712728,-66.395205,-39.636164,-53.723498,348.719962,374.955745,365.188656,1
4,71.193986,103.510887,88.094722,-114.3176,-81.206618,-99.635323,-216.722218,-166.177165,-189.75016,12.277665,-62.942403,4.764839,-26.645993,341.021337,412.045264,381.477744,1
5,92.772763,121.602567,102.233233,-133.376602,-102.475329,-113.161215,-223.80071,-191.864586,-208.98099,11.415708,-74.301366,-31.005218,-55.682891,311.0142,395.713572,350.774196,1
6,89.079191,124.399882,105.677727,-138.659397,-101.059701,-118.599396,-253.426363,-199.805749,-229.162259,11.918456,-82.691188,-29.520647,-52.964066,311.293154,374.611738,341.107604,1
7,109.380934,135.862083,124.641359,-148.602733,-122.327705,-137.321286,-232.122297,-201.396032,-216.24006,11.976451,-36.080124,-13.776208,-27.397029,343.819712,369.850434,353.414974,1
8,110.381843,136.242506,126.056987,-148.361256,-122.880663,-137.891037,-225.458522,-188.309253,-206.780473,11.860843,-35.079567,-21.855256,-28.528046,318.953949,371.574007,349.68534,1
9,110.312901,128.576762,119.617542,-139.488126,-121.430387,-131.141261,-234.986786,-192.210361,-213.737167,12.927836,-32.109719,-20.060266,-27.043122,333.390948,368.609462,348.497047,1
10,106.549678,142.077551,120.152998,-155.612282,-116.977028,-132.634671,-244.311757,-184.994337,-220.401383,12.434423,-60.594455,14.155571,-29.520471,305.838179,376.02984,334.168147,1
11,112.038948,136.967291,121.551125,-151.295749,-125.05537,-134.049856,-230.84703,-199.389263,-217.880017,11.904757,-49.061897,-5.213852,-28.950631,296.825042,340.709857,319.690842,1
12,100.748928,132.616463,113.394118,-144.252612,-111.279162,-125.651461,-226.115778,-190.172833,-211.095504,12.867189,-29.071635,3.176677,-11.471393,300.553262,359.90922,330.257404,1
13,113.903589,133.23907,124.434353,-145.357113,-127.196843,-136.7518,-234.954966,-192.002826,-210.734349,12.176182,-3.694633,26.550799,8.950823,302.175012,376.165605,342.079876,1
14,111.486698,138.900874,128.421994,-150.39843,-123.847278,-139.841945,-214.342097,-178.467388,-195.412053,12.504129,-0.55225,36.460193,20.362377,319.230781,372.44092,346.630108,1
15,99.541189,124.365234,111.52992,-138.002849,-110.934447,-122.448797,-234.020525,-190.688668,-211.923615,11.948755,-17.919854,14.812119,-3.055674,290.230211,359.734918,329.003085,1
16,107.101929,134.999412,119.082439,-145.806125,-121.188556,-130.243324,-234.332005,-174.119388,-207.376476,11.646329,-22.891875,51.651675,12.187781,286.225511,384.93479,335.752419,1
