@relation Sub1_A_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1}

@data
2.889313829999999825e+02,3.534538450000000012e+02,8.909090299999999729e+01,3.115530160000000137e+02,-3.502148879999999735e+02,-1.130468769999999950e+02,4.373334899999999834e+02,2.503061109999999871e+02,-1.626588209999999890e+02,3.982329030000000216e+02,1.199472789999999947e+02,-5.027372799999999842e+01,1.504263228000000026e+03,3.649701069999999845e+02,-3.223962499999999665e+01,2.054824700000000121e+03,3.576660259999999880e+02,-7.528556000000000026e+00,2.048775825000000168e+03,1
6.204317999999999778e+00,1.980140999999999929e+00,1.189529490000000038e+02,3.089874960000000215e+02,-3.258081950000000120e+02,-1.674453839999999900e+02,6.737168699999999433e+01,-9.386410800000000165e+01,-1.022953760000000045e+02,3.754029200000000088e+01,-2.779812799999999839e+01,-6.100530400000000242e+01,3.760850899999999797e+01,2.798142400000000052e+01,-4.187523800000000307e+01,2.510896100000000075e+01,1.271702100000000080e+01,-3.689153000000000127e+00,3.555611999999999995e+00,1
6.683044999999999902e+00,1.652903999999999929e+00,2.565480880000000070e+02,9.169370899999999835e+01,1.706568709999999953e+02,-1.299988470000000120e+02,1.159851429999999937e+02,1.565354699999999966e+01,-1.806241699999999994e+01,2.515476299999999910e+01,1.373079000000000072e+01,-3.232433699999999988e+01,4.375648799999999738e+01,2.032813200000000009e+01,-1.656730900000000162e+01,1.775153600000000154e+01,9.327287000000000106e+00,-8.513586000000000098e+00,3.065278000000000169e+00,1
8.040186000000000277e+00,2.057809999999999917e+00,3.379716910000000212e+02,1.906509099999999890e+01,3.149447040000000015e+02,-5.039328199999999924e+01,9.538056899999999416e+01,6.718769399999999337e+01,-4.844713800000000248e+01,4.133950999999999709e+01,4.520823000000000036e+00,-2.452010200000000140e+01,8.007373599999999669e+01,2.478189199999999914e+01,-2.736076500000000067e+01,2.430816000000000088e+01,1.013305700000000087e+01,-7.083097999999999672e+00,5.085327999999999626e+00,1
1.433220999999999989e+01,1.830786999999999942e+00,3.026867149999999924e+02,1.948510469999999941e+02,7.429432300000000566e+01,-7.765344699999999989e+01,7.266765499999999633e+01,4.027093099999999737e+01,-9.472741000000000611e+01,6.296813399999999916e+01,7.399899999999999700e+00,-3.816040999999999883e+01,3.366666599999999931e+01,2.362853000000000137e+01,-2.496208400000000083e+01,2.322884200000000021e+01,1.190899300000000061e+01,-5.715036999999999701e+00,6.099962999999999802e+00,1
1.025155499999999975e+01,1.880079999999999973e+00,2.903657299999999850e+02,1.123410219999999953e+02,1.554106960000000015e+02,-6.556790800000000274e+01,4.479163400000000195e+01,3.818893000000000093e+00,-5.987802800000000047e+01,3.734624500000000324e+01,-7.831579999999999764e+00,-3.545523299999999978e+01,2.503194999999999837e+01,1.932632399999999961e+01,-2.375855200000000167e+01,2.498208599999999890e+01,1.011226599999999998e+01,-3.208537999999999890e+00,3.554610999999999965e+00,1
1.346535899999999941e+01,1.671400999999999915e+00,1.240210090999999920e+03,3.047922960000000216e+02,8.692331510000000208e+02,-2.553680319999999995e+02,1.388953960000000052e+02,-2.187587800000000016e+01,-1.466808499999999924e+02,6.434340600000000165e+01,-9.678490000000000038e+00,-6.906583899999999687e+01,3.052832799999999835e+01,2.803051999999999921e+01,-2.488622799999999913e+01,1.352094699999999960e+01,9.957326999999999373e+00,-4.473006999999999955e+00,4.039817000000000213e+00,1
7.476608999999999838e+00,2.365247000000000099e+00,7.420045099999999820e+02,4.274641199999999941e+01,6.943524979999999687e+02,-1.398733619999999860e+02,7.912568299999999510e+01,-1.246473300000000073e+01,-9.507974799999999505e+01,5.309823899999999952e+01,7.256816999999999851e+00,-8.769151200000000301e+01,6.472105999999999426e+01,3.101877800000000107e+01,-4.038589999999999947e+01,2.468426099999999934e+01,1.182600099999999976e+01,-5.774607999999999741e+00,5.315872999999999848e+00,1
1.509660700000000055e+01,2.347121000000000013e+00,-7.752451399999999637e+01,1.338499710000000107e+02,-2.851530099999999948e+02,-1.334350599999999929e+02,7.258210499999999854e+01,-3.123517700000000019e+01,-8.376126700000000369e+01,5.932546099999999711e+01,9.356263000000000218e+00,-4.255399299999999840e+01,5.010547900000000254e+01,3.073608000000000118e+01,-2.516802600000000112e+01,3.610508399999999796e+01,1.343801799999999957e+01,-8.522531999999999996e+00,3.546267999999999976e+00,1
8.630466999999999445e+00,2.323367999999999878e+00,5.607506740000000036e+02,4.850017569999999978e+02,7.938951000000000313e+00,-3.282331379999999967e+02,2.059496870000000115e+02,4.289130000000000109e+00,-1.841118930000000091e+02,8.958557700000000068e+01,6.208485999999999727e+00,-5.917133100000000212e+01,6.662987200000000598e+01,3.440149999999999864e+01,-4.654508700000000232e+01,2.968709899999999990e+01,1.545500000000000007e+01,-5.396359000000000350e+00,3.787272999999999890e+00,1
8.174348999999999421e+00,1.726236000000000104e+00,2.529105800000000102e+02,1.845533010000000047e+02,-5.364898199999999662e+01,-3.109504479999999944e+02,1.547277469999999937e+02,-5.281275699999999773e+01,-1.138280539999999945e+02,8.865596600000000649e+01,1.144487699999999997e+01,-5.877214899999999886e+01,4.602460599999999857e+01,3.244650699999999688e+01,-3.252080099999999874e+01,4.312337999999999738e+01,1.708898800000000051e+01,-3.383827000000000140e+00,3.295335000000000125e+00,1
9.577664999999999651e+00,1.937310000000000088e+00,-1.366263209999999901e+02,1.591334789999999941e+02,-3.616842290000000162e+02,-1.187032459999999929e+02,1.364603580000000136e+02,3.185386000000000095e+01,-1.041188369999999992e+02,6.970181499999999630e+01,6.409590999999999816e+00,-3.194235799999999870e+01,5.081631000000000142e+01,2.508930000000000149e+01,-4.466481100000000026e+01,2.842466999999999899e+01,1.597879799999999939e+01,-7.809789000000000314e+00,2.800269000000000119e+00,1
1.108561800000000019e+01,2.273598999999999926e+00,-3.000758999999999901e+02,6.790883599999999376e+01,-3.995947459999999865e+02,-1.037408460000000048e+02,5.305031499999999767e+01,-2.113947800000000043e+01,-8.719747999999999877e+01,4.657617599999999669e+01,-2.629201999999999817e+00,-4.041151200000000188e+01,4.931985800000000353e+01,3.259528900000000107e+01,-3.060351400000000055e+01,2.460453800000000157e+01,1.347416199999999975e+01,-4.246286999999999701e+00,5.078788000000000302e+00,1
7.994438999999999851e+00,2.166472000000000175e+00,-1.224724580000000032e+02,1.328112800000000107e+02,-2.005319939999999974e+02,-3.928469610000000216e+02,2.059214479999999980e+02,-3.766414199999999823e+01,-4.758246599999999660e+01,5.717048100000000233e+01,1.726257000000000019e+01,-9.463821500000000242e+01,6.827943799999999896e+01,3.988368200000000030e+01,-3.872914699999999755e+01,2.444765800000000056e+01,1.594282699999999942e+01,-3.929111999999999938e+00,4.577425999999999995e+00,1
1.186896100000000054e+01,1.951575000000000060e+00,1.071310189999999949e+02,1.921968669999999975e+02,-1.720717689999999891e+02,-1.178483959999999939e+02,5.453265900000000244e+01,-2.539564499999999825e+01,-9.327394700000000682e+01,6.840530400000000100e+01,1.771656899999999979e+01,-6.514759300000000053e+01,9.179997500000000343e+01,4.375742799999999733e+01,-4.153180100000000152e+01,5.430669499999999772e+01,2.009878399999999843e+01,-7.447677999999999798e+00,4.826393000000000377e+00,1
8.522781999999999414e+00,2.857390000000000096e+00,1.000465168999999946e+03,4.522142789999999763e+02,5.151628990000000385e+02,-2.093751770000000079e+02,1.327264329999999859e+02,-2.316446399999999883e+01,-1.710700380000000109e+02,6.711114200000000096e+01,-2.074811899999999909e+01,-8.532376100000000463e+01,7.964706200000000536e+01,3.878455699999999950e+01,-4.007067099999999726e+01,3.279225199999999774e+01,1.634099000000000146e+01,-3.660232999999999848e+00,5.583682999999999730e+00,1
3.041589199999999948e+01,2.535756999999999817e+00,8.271039899999999534e+02,2.433398799999999937e+02,5.351150470000000041e+02,-1.871339989999999887e+02,1.732448589999999911e+02,9.161438800000000526e+01,-1.016101149999999933e+02,7.515807399999999916e+01,3.777247899999999703e+01,-8.470981399999999439e+01,5.467677100000000223e+01,4.501632699999999687e+01,-6.118435000000000201e+01,3.367581500000000005e+01,2.029373700000000014e+01,-6.307406000000000290e+00,3.270267000000000035e+00,1
1.474480699999999977e+01,2.165048000000000084e+00,6.147513609999999744e+02,5.369850790000000416e+02,-1.501501910000000066e+02,-2.748192250000000172e+02,2.933833870000000275e+02,-8.598677000000000348e+00,-1.645478040000000135e+02,1.243176950000000005e+02,1.628651199999999832e+01,-6.177899200000000235e+01,8.935955800000000693e+01,3.494418499999999739e+01,-4.173895499999999714e+01,4.508333499999999816e+01,1.961439899999999881e+01,-6.793765999999999750e+00,4.320157000000000025e+00,1
1.410782500000000006e+01,2.641410000000000036e+00,-4.426354640000000131e+02,1.713318350000000123e+02,-5.996735449999999901e+02,-3.684232220000000098e+02,1.721170529999999985e+02,-8.206279399999999669e+01,-8.576748000000000616e+01,5.223364999999999725e+01,-1.158326100000000025e+01,-6.646744200000000546e+01,8.252370000000000516e+01,3.897961999999999705e+01,-4.152802899999999653e+01,2.760411799999999971e+01,1.512656100000000059e+01,-7.846881999999999913e+00,3.820320000000000160e+00,1
1.528836000000000084e+01,2.650840000000000085e+00,5.017250030000000152e+02,2.412595420000000104e+02,1.476124199999999860e+02,-1.252711979999999983e+02,6.340838300000000061e+01,-4.118175099999999844e+01,-1.432629259999999931e+02,6.345907199999999904e+01,-2.354138199999999870e+01,-7.013957299999999861e+01,2.703098999999999918e+01,2.567849000000000004e+01,-2.463045299999999926e+01,1.805884899999999860e+01,1.010600600000000071e+01,-5.651672999999999725e+00,4.329398000000000302e+00,1
2.756414600000000092e+01,2.419639999999999791e+00,2.318196320000000128e+02,1.981504899999999907e+02,-8.132338900000000592e+01,-9.550674200000000269e+01,1.062279220000000066e+02,2.593027800000000127e+01,-1.250800799999999953e+02,6.283171500000000265e+01,1.233663699999999963e+01,-4.879224099999999709e+01,6.792763300000000015e+01,3.554941999999999780e+01,-4.022064699999999959e+01,2.902153500000000008e+01,1.525153899999999929e+01,-1.055733099999999958e+01,6.326520999999999617e+00,1
1.492386800000000058e+01,2.144337999999999855e+00,1.744484140000000139e+02,2.075796579999999949e+02,-1.442181459999999902e+02,-9.597917000000000698e+00,2.462424700000000044e+01,3.129359300000000133e+01,-5.413244499999999704e+01,5.272508299999999792e+01,1.519454700000000003e+01,-8.002793099999999527e+01,6.044300400000000195e+01,3.423448799999999892e+01,-2.613491399999999842e+01,2.457315900000000042e+01,1.340895599999999988e+01,-8.024281999999999471e+00,4.565481000000000122e+00,1
2.183466100000000054e+01,1.998545999999999934e+00,-4.088890870000000177e+02,1.613874390000000005e+02,-5.342770400000000564e+02,-1.263811899999999966e+01,1.506414190000000133e+02,1.701683759999999950e+02,-5.677093599999999896e+01,6.017452999999999719e+01,3.708129399999999976e+01,-4.640124699999999791e+01,9.737094999999999345e+01,3.841675000000000040e+01,-2.853784399999999977e+01,3.394536699999999740e+01,1.653649400000000114e+01,-8.869764999999999233e+00,6.044697000000000209e+00,1
3.825788000000000189e+00,1.948366000000000042e+00,-5.086270930000000021e+02,3.023573489999999993e+02,-8.269900119999999788e+02,-1.827032210000000134e+02,1.050865540000000067e+02,-1.775657800000000108e+01,-8.826787600000000111e+01,6.636883199999999761e+01,-6.765282000000000018e+00,-5.692226000000000141e+01,5.695855699999999899e+01,3.010215699999999828e+01,-2.694115400000000093e+01,2.129515299999999911e+01,1.086095800000000011e+01,-6.105012999999999579e+00,3.526456000000000035e+00,1
5.839965000000000295e+00,1.863823999999999925e+00,1.166880141999999978e+03,2.806970840000000180e+02,7.971161499999999478e+02,-3.998951100000000025e+01,9.774143300000000067e+01,8.698157700000000148e+01,-2.229232500000000172e+01,3.447454499999999911e+01,3.619612000000000052e+01,-2.901725199999999916e+01,4.795158899999999846e+01,2.017647799999999947e+01,-1.181848399999999977e+01,2.413720199999999849e+01,9.311828999999999468e+00,-6.626407000000000380e+00,3.028910000000000213e+00,1
7.165624000000000215e+00,2.023877999999999844e+00,2.528669639999999958e+02,9.909170100000000048e+01,1.266936900000000037e+02,-1.525564500000000123e+02,1.084835049999999939e+02,-2.456906400000000090e+01,-7.702129499999999496e+01,5.013329000000000235e+01,-7.003798999999999886e+00,-2.965278599999999898e+01,5.711240399999999795e+01,2.444098699999999980e+01,-2.644653999999999883e+01,3.396099600000000152e+01,1.338871800000000079e+01,-6.346954000000000207e+00,5.276034000000000113e+00,1
